,Unnamed: 0,A1:CO,A1:PM10,A1:PM25,A1:NO2,A1:NO,A1:NOX
0,,Autoroute A1 - Saint-Denis,Autoroute A1 - Saint-Denis,Autoroute A1 - Saint-Denis,Autoroute A1 - Saint-Denis,Autoroute A1 - Saint-Denis,Autoroute A1 - Saint-Denis
1,,A1,A1,A1,A1,A1,A1
2,,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote
3,,CO,PM10,PM25,NO2,NO,NOX
4,,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
5,2019-01-01 01:00:00Z,0.414,35.8,25.1,79.4,131.2,280.5
6,2019-01-01 02:00:00Z,0.402,23.1,14.7,75.1,111.5,246.3
7,2019-01-01 03:00:00Z,0.495,40.6,21.9,110.5,214.3,439.5
8,2019-01-01 04:00:00Z,0.67,48.5,24.5,111.4,248,493.3
9,2019-01-01 05:00:00Z,0.514,55,20.1,114.2,237.2,477.2
10,2019-01-01 06:00:00Z,0.497,42.6,19.8,103.7,163.4,354
11,2019-01-01 07:00:00Z,0.383,33.8,14.8,80.3,97.2,229.1
12,2019-01-01 08:00:00Z,0.377,38.2,23.5,80.8,96.1,228.6
13,2019-01-01 09:00:00Z,0.237,21.6,13.7,47.3,35.3,102.2
14,2019-01-01 10:00:00Z,0.27,25.8,10.2,49.7,46.5,121.2
15,2019-01-01 11:00:00Z,0.39,23.7,8.5,46.9,49.8,123.4
16,2019-01-01 12:00:00Z,0.282,26.7,12.7,41.6,41.7,106.1
17,2019-01-01 13:00:00Z,0.322,32,14,54.5,64.7,154.2
18,2019-01-01 14:00:00Z,0.358,38.3,17.2,66.9,88.5,202.9
19,2019-01-01 15:00:00Z,0.336,37.1,14,71.7,107.7,237
20,2019-01-01 16:00:00Z,0.369,46,26,73.6,108.7,240.4
21,2019-01-01 17:00:00Z,0.388,41.8,19.2,74.6,105.3,236
22,2019-01-01 18:00:00Z,0.494,52.6,20.5,91.8,180.7,369.1
23,2019-01-01 19:00:00Z,0.488,38.9,20.7,87.5,164.6,340.4
24,2019-01-01 20:00:00Z,0.486,37.2,14.2,79.4,127,274.1
25,2019-01-01 21:00:00Z,0.399,29,15.6,61.2,73.7,174.5
26,2019-01-01 22:00:00Z,0.35,28.6,15.8,49.7,48.9,124.9
27,2019-01-01 23:00:00Z,0.238,23.7,6.9,36.3,23.7,73.1
28,2019-01-02 00:00:00Z,0.184,24.1,4.6,25.8,13.1,46
29,2019-01-02 01:00:00Z,0.162,18.9,4.1,29.2,20.1,60.5
30,2019-01-02 02:00:00Z,0.161,19.7,4,27.2,19,56.2
31,2019-01-02 03:00:00Z,0.167,16.7,2,29.7,16,54.4
32,2019-01-02 04:00:00Z,0.206,21.6,1.8,30.1,25.2,68.9
33,2019-01-02 05:00:00Z,0.218,31.6,6.2,57.4,58.1,146.5
34,2019-01-02 06:00:00Z,0.284,41.8,4.7,75.1,88.7,211.4
35,2019-01-02 07:00:00Z,0.274,40.9,8.4,78.4,102.1,235.4
36,2019-01-02 08:00:00Z,0.376,39.9,8.7,79.4,103.8,238.5
37,2019-01-02 09:00:00Z,0.381,36.9,11.8,76,95.6,222.8
38,2019-01-02 10:00:00Z,0.274,41.8,8.2,59.8,73.7,172.8
39,2019-01-02 11:00:00Z,0.289,38,9.8,70.3,77.3,189.2
40,2019-01-02 12:00:00Z,0.277,42,9.9,66.9,74.2,180.5
41,2019-01-02 13:00:00Z,0.309,31.8,9.6,69.8,78.8,190.9
42,2019-01-02 14:00:00Z,0.292,37.1,14.2,73.1,83,200.2
43,2019-01-02 15:00:00Z,0.232,24,8.8,56.4,53.3,138.6
44,2019-01-02 16:00:00Z,0.272,31.6,8.6,59.3,51.6,138.7
45,2019-01-02 17:00:00Z,0.399,29.3,9.3,84.2,78.6,205
46,2019-01-02 18:00:00Z,0.427,36.4,16.3,84.6,80.6,208.8
47,2019-01-02 19:00:00Z,0.385,33.1,14.6,65.5,54.3,149.1
48,2019-01-02 20:00:00Z,0.342,34.2,14.4,63.6,53.1,145.3
49,2019-01-02 21:00:00Z,0.314,25.7,14.6,66.9,66.6,169.2
50,2019-01-02 22:00:00Z,0.279,27.2,9.6,57.4,49.6,133.2
